date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:07	62832/62832	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2022:18:00%20GMT	https://html.themeholy.com/edmate/assignment.html	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assignment.html	(from )
15:17:08	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Feb%202025%2009:46:57%20GMT	https://html.themeholy.com/robots.txt		(from )
15:17:09	1009/1009	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Aug%202024%2021:43:00%20GMT	https://html.themeholy.com/edmate/assets/images/logo/favicon.png	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/images/logo/favicon.png	(from https://html.themeholy.com/edmate/assignment.html)
15:17:09	232760/232760	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Jun%202024%2011:16:22%20GMT	https://html.themeholy.com/edmate/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/bootstrap.min.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:09	1192/1192	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Jul%202024%2020:59:48%20GMT	https://html.themeholy.com/edmate/assets/css/file-upload.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/file-upload.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:10	32643/32643	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20Jul%202024%2023:41:48%20GMT	https://html.themeholy.com/edmate/assets/css/plyr.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/plyr.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:10	25981/25981	---MCZ	200	added ('OK')	text/css	etag:W/%22673320a9-657d%22	https://cdn.datatables.net/2.0.8/css/dataTables.dataTables.min.css	C:/My%20Web%20Sites/E-Learning/cdn.datatables.net/2.0.8/css/dataTables.dataTables.min.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:10	14651/14651	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2019:38:58%20GMT	https://html.themeholy.com/edmate/assets/css/full-calendar.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/full-calendar.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:11	37411/37411	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2000:15:38%20GMT	https://html.themeholy.com/edmate/assets/css/jquery-ui.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/jquery-ui.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:11	24617/24617	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202024%2014:59:50%20GMT	https://html.themeholy.com/edmate/assets/css/editor-quill.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/editor-quill.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:11	14599/14599	---M-Z	200	added ('OK')	text/css	date:Fri,%2026%20Jul%202024%2010:46:38%20GMT	https://html.themeholy.com/edmate/assets/css/apexcharts.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/apexcharts.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:12	1538/1538	---M-Z	200	added ('OK')	text/css	date:Fri,%2026%20Jul%202024%2021:17:14%20GMT	https://html.themeholy.com/edmate/assets/css/calendar.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/calendar.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:12	6769/6769	---M-Z	200	added ('OK')	text/css	date:Fri,%2002%20Aug%202024%2022:45:38%20GMT	https://html.themeholy.com/edmate/assets/css/jquery-jvectormap-2.0.5.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/jquery-jvectormap-2.0.5.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:13	178746/178746	---M-Z	200	added ('OK')	text/css	date:Sun,%2011%20Aug%202024%2013:47:42%20GMT	https://html.themeholy.com/edmate/assets/css/main.css	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/css/main.css	(from https://html.themeholy.com/edmate/assignment.html)
15:17:13	68537/68537	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2022:18:00%20GMT	https://html.themeholy.com/edmate/index.html	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/index.html	(from https://html.themeholy.com/edmate/assignment.html)
15:17:13	2629/2629	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Aug%202024%2021:42:52%20GMT	https://html.themeholy.com/edmate/assets/images/logo/logo.png	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/assets/images/logo/logo.png	(from https://html.themeholy.com/edmate/assignment.html)
15:17:13	83957/83957	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2022:18:00%20GMT	https://html.themeholy.com/edmate/index-2.html	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/index-2.html	(from https://html.themeholy.com/edmate/assignment.html)
15:17:14	56607/56607	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2022:18:00%20GMT	https://html.themeholy.com/edmate/index-3.html	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/index-3.html	(from https://html.themeholy.com/edmate/assignment.html)
15:17:14	114890/114890	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2022:18:00%20GMT	https://html.themeholy.com/edmate/student-courses.html	C:/My%20Web%20Sites/E-Learning/html.themeholy.com/edmate/student-courses.html	(from https://html.themeholy.com/edmate/assignment.html)
